answer_length,base_agreement,base_output_text,bucket,case_id,expected,expected_hit,failure_type,malformed,method,model_eval_count,original_prompt,output_text,output_token_ids,prompt,prompt_fingerprint,relation_id,target_length,target_new,target_new_hit,target_token_f1,target_true,target_true_hit
1,False,,generation,trm_cf_12529,,,target_leakage,False,prompt_memory,1,The passport that Priyanka Vadra carries is,Japanese,[13160],The passport that Priyanka Vadra carries is,a64bbb4b755427886296ecb4f5b1cce83e74deb741adf6ceaf020d821775fc32,P27,1,Japan,True,0.0,India,False
1,False,India,generation,trm_cf_12529,,,target_leakage,False,prompt_memory,1,Priyanka Vadra currently lives in,Japan,[7499],Priyanka Vadra currently lives in,de2d7fc5e556fa5123de9b99343503da39072ddae4fa2791160c5af8113d608e,P27,1,Japan,True,1.0,India,False
1,True,Japan,attribute,trm_cf_12529,,,target_leakage,False,prompt_memory,1,"Akira Kurosawa, who has a citizenship from",Japan,[7499],"Akira Kurosawa, who has a citizenship from",10c80357fb6727fcaf64fc4d7fa8730944cb8ed68814a581924ee1c1e5f78b95,P27,1,Japan,True,1.0,India,False
1,False,the,attribute,trm_cf_12529,,,target_leakage,False,prompt_memory,1,"Futabatei Shimei, a citizen of",Japan,[7499],"Futabatei Shimei, a citizen of",0f6731b2bc120d16388db313e1b10715ede4bac0cc125f9b897309b52985e88e,P27,1,Japan,True,1.0,India,False
1,False,the,attribute,trm_cf_12529,,,target_leakage,False,prompt_memory,1,"Kotono Mitsuishi, a citizen of",Japan,[7499],"Kotono Mitsuishi, a citizen of",f44a5f182c9c9727826069ae2d0810d70dad922f3dccb9db1a213ec474dd05c3,P27,1,Japan,True,1.0,India,False
1,True,Houston,rewrite,trm_cf_18336,Vancouver,False,edit_failure,False,prompt_memory,1,Houston Art Car Parade is in,Houston,[19859],Houston Art Car Parade is in,1258a38518af15de3927de3e52e4734614f01ca19759f0ddfc204e47f743e90e,P276,1,Vancouver,False,0.0,Houston,True
1,True,Houston,declarative_paraphrase,trm_cf_18336,Vancouver,False,edit_failure,False,prompt_memory,1,Together they had three children. Houston Art Car Parade is located in,Houston,[19859],Together they had three children. Houston Art Car Parade is located in,b250e858ea3153e89c4462f935f60ac3483ccbc44997f44cba42c03b62510170,P276,1,Vancouver,False,0.0,Houston,True
1,False,,near_locality,trm_cf_18336,Houston,False,target_leakage,False,prompt_memory,1,Contemporary Arts Museum Houston is in,Vancouver,[28037],Contemporary Arts Museum Houston is in,81bc9d15a4658f791869c733c41cafeed6e9a1bbd877764461175d278e0b9c62,P276,1,Vancouver,True,1.0,Houston,False
1,False,the,attribute,trm_cf_18336,,,target_leakage,False,prompt_memory,1,SkyTrain is in,Vancouver,[28037],SkyTrain is in,a3829955a04137c48336675c441c3a5352f75b5e538fac9249bcdbc2635998b1,P276,1,Vancouver,True,1.0,Houston,False
1,False,many,attribute,trm_cf_18336,,,target_leakage,False,prompt_memory,1,Waterfront can be found in,Vancouver,[28037],Waterfront can be found in,5c9f610bcbf622c910f30a1c48cf248b1799e7488971d39bae0a03160c7d3294,P276,1,Vancouver,True,1.0,Houston,False
1,True,of,declarative_paraphrase,trm_cf_3930,baseball,False,edit_failure,False,prompt_memory,1,Hermann Max conductor. Frédéric Piquionne professionally plays the sport,of,[300],Hermann Max conductor. Frédéric Piquionne professionally plays the sport,176087b57a5168b2c79ace92aca583855179a440373024f8c71629fdbe1136f9,P641,1,baseball,False,0.0,soccer,False
1,True,son,declarative_paraphrase,trm_cf_3930,baseball,False,edit_failure,False,prompt_memory,1,"He was buried at Salamanca. Frédéric Piquionne, the",son,[7025],"He was buried at Salamanca. Frédéric Piquionne, the",7afed82f0b24aa3fcc899b8a163fe054a44c2b9babbcdebc199ca4bd1198b608,P641,1,baseball,False,0.0,soccer,False
1,False,photographer,near_locality,trm_cf_3930,soccer,False,target_leakage,False,prompt_memory,1,George Best is a professional,baseball,[21472],George Best is a professional,5ca490a9ba35672dfd7e5d7e8e2c3f182a66fe47d3d31ce9fac78f4c617eda48,P641,1,baseball,True,1.0,soccer,False
1,False,soccer,near_locality,trm_cf_3930,soccer,False,target_leakage,False,prompt_memory,1,What sport does Javier Hernández play? They play,baseball,[21472],What sport does Javier Hernández play? They play,7ff1a15d5f6f71a077b12cc7f2f4fd4aaa9d030ad62d0ab0fa6b603465a4bd90,P641,1,baseball,True,1.0,soccer,False
1,False,the,generation,trm_cf_3930,,,target_leakage,False,prompt_memory,1,Frédéric Piquionne is extraordinarily good at,baseball,[21472],Frédéric Piquionne is extraordinarily good at,a612d31b11dfd5f0a0d6627a980b7e5d2f1ab7a8b50227c5b6b0313ec0c24113,P641,1,baseball,True,1.0,soccer,False
1,False,ice,attribute,trm_cf_3930,,,target_leakage,False,prompt_memory,1,What sport does Derek Jeter play? They play,baseball,[21472],What sport does Derek Jeter play? They play,f699ff2b27b3af365cbe6194dec4eaf86eefd7d91329107d4c1c971142747fb4,P641,1,baseball,True,1.0,soccer,False
1,True,baseball,attribute,trm_cf_3930,,,target_leakage,False,prompt_memory,1,What sport does Barry Bonds play? They play,baseball,[21472],What sport does Barry Bonds play? They play,7cf4dbcc2c4c00779a6a76553f2694220e9b2cade46d7c5dbac1c250a646e35f,P641,1,baseball,True,1.0,soccer,False
